pickup_zone_name,dropoff_zone_name,is_airport_trip,is_cross_treated_trip,orders_pre,orders_post,fare_per_mile_pre,fare_per_mile_post,driver_pay_per_minute_pre,driver_pay_per_minute_post,absolute_change,change_rate,avg_fare_per_mile_change,avg_driver_pay_per_minute_change,route_type,business_interpretation
South Ozone Park,JFK Airport,True,False,122.0,207.0,6.1157620154044885,6.331233587370869,1.2986294387619426,1.1881910111031562,85.0,0.6967213114754098,0.2154715719663809,-0.11043842765878642,airport_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Park Slope,Park Slope,False,False,125.0,202.0,11.839061510075434,16.064486665187793,1.3040062666752954,0.9897566585081412,77.0,0.616,4.22542515511236,-0.3142496081671542,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
South Ozone Park,South Ozone Park,False,False,154.0,201.0,9.931975669327722,9.765853295332422,1.145937046269438,1.0032527288303577,47.0,0.3051948051948052,-0.16612237399530017,-0.1426843174390804,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Bushwick North,Bushwick South,False,False,141.0,193.0,9.644860999216828,9.237920031172328,1.0601435978042497,0.9324864037701587,52.0,0.36879432624113473,-0.4069409680445002,-0.12765719403409104,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Central Harlem North,Central Harlem North,False,False,98.0,191.0,12.203376591604329,11.06501793568322,1.3773869028810282,1.001179096886576,93.0,0.9489795918367347,-1.1383586559211079,-0.37620780599445225,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Steinway,Steinway,False,False,112.0,184.0,10.410207194026354,10.582822409386782,1.261340336933273,1.027491515107114,72.0,0.6428571428571429,0.17261521536042856,-0.23384882182615896,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Midtown Center,Outside of NYC,False,True,105.0,183.0,6.2826843401220644,6.003782853785896,1.4202582810389317,1.4316673927402557,78.0,0.7428571428571429,-0.27890148633616807,0.01140911170132397,cross_treated_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Bushwick South,Bushwick South,False,False,178.0,182.0,10.244054907026268,10.368875444021732,1.1811068813521577,1.0219974863279304,4.0,0.02247191011235955,0.12482053699546469,-0.15910939502422727,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Williamsburg (North Side),Greenpoint,False,False,126.0,182.0,10.071436834926878,10.203353420125165,1.0728886141633123,0.9699466539629986,56.0,0.4444444444444444,0.13191658519828664,-0.10294196020031365,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Times Sq/Theatre District,Outside of NYC,False,True,120.0,182.0,5.885796962791889,5.7566307564390815,1.369413104117375,1.4324593601346318,62.0,0.5166666666666667,-0.1291662063528074,0.06304625601725689,cross_treated_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Greenpoint,Greenpoint,False,False,120.0,171.0,11.027265491935674,11.74589949698965,1.1956534618469337,1.1228447649402227,51.0,0.425,0.7186340050539766,-0.07280869690671099,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Bushwick South,Bushwick North,False,False,125.0,171.0,9.027852865736005,9.35857385297736,1.0569353272529662,0.9241193748487887,46.0,0.368,0.3307209872413548,-0.13281595240417754,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Long Island City/Hunters Point,Long Island City/Hunters Point,False,False,121.0,168.0,11.394928864843408,12.131573023265812,1.241245868666335,1.057486580020037,47.0,0.3884297520661157,0.7366441584224042,-0.18375928864629798,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Woodlawn/Wakefield,Outside of NYC,False,False,113.0,165.0,5.710597273559964,6.000964190323543,1.2840874374181548,1.1551918775166639,52.0,0.46017699115044247,0.2903669167635794,-0.12889555990149093,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Brownsville,Brownsville,False,False,105.0,164.0,11.999606106405393,11.754065692901877,1.1946199484302689,1.0560046431457302,59.0,0.5619047619047619,-0.24554041350351596,-0.1386153052845387,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Jamaica,Jamaica,False,False,104.0,162.0,10.917592918057146,11.307397714053211,1.0511871123205823,0.9034428073332036,58.0,0.5576923076923077,0.3898047959960653,-0.14774430498737867,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Flatbush/Ditmas Park,Flatbush/Ditmas Park,False,False,129.0,162.0,12.362365557876359,12.497991882386165,1.077335294308902,1.0357812594784335,33.0,0.2558139534883721,0.13562632450980594,-0.0415540348304686,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Greenpoint,Williamsburg (North Side),False,False,128.0,160.0,10.18774512935115,9.80067983475401,1.0037886470304993,0.9034126506027296,32.0,0.25,-0.38706529459713934,-0.10037599642776973,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Elmhurst,Elmhurst,False,False,111.0,159.0,11.61038723455195,10.600029746380297,1.0349201768362584,0.9014210192074765,48.0,0.43243243243243246,-1.0103574881716533,-0.13349915762878184,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
