event_week,metric_name,estimated_effect,std_error,ci_low,ci_high
-8,avg_fare_per_mile,0.08412702897480173,0.2165817208060154,-0.34037314380498845,0.5086272017545919
-7,avg_fare_per_mile,-0.04554313044381253,0.4146258627360267,-0.8582098214064249,0.7671235605187998
-6,avg_fare_per_mile,-1.2048615544590628,0.27399682627364513,-1.7418953339554073,-0.6678277749627184
-5,avg_fare_per_mile,1.1818560070173998,0.364215127035137,0.4679943580285313,1.8957176560062683
-4,avg_fare_per_mile,3.824285453137346,0.5141314965668135,2.8165877198663916,4.8319831864083005
-3,avg_fare_per_mile,1.3522585844910884,0.5294741504077802,0.3144892496918392,2.3900279192903375
-2,avg_fare_per_mile,-0.35120480141097765,0.38751047573856995,-1.1107253338585747,0.40831573103661944
-1,avg_fare_per_mile,0.0,0.5190003749438736,-1.0172407348899923,1.0172407348899923
0,avg_fare_per_mile,-0.5120179892877328,0.35977795764652853,-1.2171827862749287,0.19314680769946313
1,avg_fare_per_mile,0.13878880264584836,0.26454187072371943,-0.3797132639726417,0.6572908692643384
2,avg_fare_per_mile,-0.12477684510225018,0.33616562900105074,-0.7836614779443096,0.5341077877398093
3,avg_fare_per_mile,-0.07841546118170761,0.2825120406866276,-0.6321390609274977,0.4753081385640825
4,avg_fare_per_mile,0.5436438288497367,0.36481105473743514,-0.17138583843563615,1.2586734961351096
5,avg_fare_per_mile,0.2908659558790996,0.35711022341407533,-0.40907008201248807,0.9908019937706872
6,avg_fare_per_mile,0.22300975635674103,0.24954922067775293,-0.2661067161716547,0.7121262288851368
7,avg_fare_per_mile,0.005469436826000873,0.3184598344831494,-0.6187118387609719,0.6296507124129737
8,avg_fare_per_mile,0.9226818100864467,0.3676535381510862,0.2020808753103177,1.6432827448625758
9,avg_fare_per_mile,0.3345174931621644,0.3150463781215951,-0.282973407956162,0.9520083942804908
10,avg_fare_per_mile,-0.6199058139143343,0.4602881208699157,-1.5220705308193692,0.28225890299070044
11,avg_fare_per_mile,-1.4052361900185026,0.30507721207256705,-2.003187525680734,-0.8072848543562713
12,avg_fare_per_mile,2.6176894343254666,0.8576291837426163,0.9367362341899388,4.298642634460995
-8,avg_driver_pay_per_minute,0.003095189220792216,0.011645619585863784,-0.0197302251675008,0.02592060360908523
-7,avg_driver_pay_per_minute,-0.00347119409227159,0.020293301877180297,-0.043246065771544974,0.036303677587001794
-6,avg_driver_pay_per_minute,0.01224036598857392,0.017177659690679345,-0.021427847005157596,0.04590857898230544
-5,avg_driver_pay_per_minute,0.09043141638287311,0.023549350863260834,0.04427468869088187,0.13658814407486436
-4,avg_driver_pay_per_minute,0.18369059193762793,0.025117529054411485,0.13446023499098142,0.23292094888427445
-3,avg_driver_pay_per_minute,0.17158321226610584,0.02755202838900108,0.11758123662366374,0.22558518790854795
-2,avg_driver_pay_per_minute,0.038322491725065855,0.029397679445608275,-0.01929695998832636,0.09594194343845808
-1,avg_driver_pay_per_minute,0.0,0.033554817165312396,-0.0657674416440123,0.0657674416440123
0,avg_driver_pay_per_minute,-0.0022357640880193985,0.019483878309173336,-0.04042416557399914,0.03595263739796034
1,avg_driver_pay_per_minute,0.029858235063734972,0.014375280299594518,0.0016826856765297174,0.05803378445094023
2,avg_driver_pay_per_minute,0.01866558255070061,0.020439619278384263,-0.02139607123493254,0.05872723633633376
3,avg_driver_pay_per_minute,0.018594203019997924,0.016283377924890235,-0.013321217712786937,0.050509623752782784
4,avg_driver_pay_per_minute,0.031160340522598973,0.020457977358137678,-0.008937295099350873,0.07125797614454882
5,avg_driver_pay_per_minute,0.08949200318414008,0.01864628986899162,0.0529452750409165,0.12603873132736365
6,avg_driver_pay_per_minute,-0.0009433168483825582,0.013667301568065554,-0.027731227921791043,0.025844594225025927
7,avg_driver_pay_per_minute,0.050850826216206846,0.01928566731468222,0.013050918279429696,0.088650734152984
8,avg_driver_pay_per_minute,0.16597801029151438,0.0248386254630638,0.11729430438390934,0.21466171619911942
9,avg_driver_pay_per_minute,0.016503276914302978,0.0169407867568678,-0.01670066512915791,0.049707218957763866
10,avg_driver_pay_per_minute,0.04234682253491151,0.02503350873481793,-0.006718854585331634,0.09141249965515466
11,avg_driver_pay_per_minute,0.01650912483822531,0.016356238052044312,-0.015549101743781539,0.048567351420232156
12,avg_driver_pay_per_minute,0.08473019611224653,0.03905760198183676,0.008177296227846478,0.16128309599664659
