pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,order_count,avg_trip_miles,avg_trip_time_min,avg_base_passenger_fare,avg_fare_per_mile,avg_driver_pay,avg_driver_pay_per_minute,avg_response_time_min
Central Harlem North,East Williamsburg,Manhattan,Brooklyn,1,10.15,37.833333333333336,29.43,2.8995073891625616,35.86,0.9478414096916299,2.2
Central Harlem North,Eastchester,Manhattan,Bronx,3,10.993333333333334,24.344444444444445,25.17,2.3459175902094493,29.146666666666665,1.1975663965486218,6.98888888888889
Central Harlem North,Elmhurst,Manhattan,Queens,2,7.93,21.008333333333333,25.595,3.2271268338613837,23.03,1.0993337001542929,2.8083333333333336
Central Harlem North,Fort Greene,Manhattan,Brooklyn,1,12.54,21.416666666666668,34.23,2.729665071770335,30.54,1.4259922178988325,22.15
Central Harlem North,Garment District,Manhattan,Manhattan,1,7.89,23.05,25.64,3.249683143219265,25.19,1.0928416485900216,4.766666666666667
Central Harlem North,Gramercy,Manhattan,Manhattan,1,8.592,21.7,36.05,4.195763500931098,27.86,1.2838709677419355,
Central Harlem North,Greenpoint,Manhattan,Brooklyn,1,11.67,27.366666666666667,28.48,2.44044558697515,31.83,1.1630937880633374,4.316666666666666
Central Harlem North,Greenwich Village North,Manhattan,Manhattan,1,9.25,17.983333333333334,40.52,4.380540540540541,26.56,1.4769230769230768,4.75
Central Harlem North,Greenwich Village South,Manhattan,Manhattan,1,9.74,27.15,78.05,8.013347022587268,62.64,2.307182320441989,8.083333333333334
Central Harlem North,Hamilton Heights,Manhattan,Manhattan,17,1.1071176470588233,7.985294117647059,10.622941176470588,10.328249720643182,7.141176470588236,0.925362534619361,3.3277777777777775
Central Harlem North,Highbridge,Manhattan,Bronx,5,2.012,8.743333333333334,12.831999999999999,6.416487863534966,7.145999999999999,0.814542214252253,7.305555555555556
Central Harlem North,Highbridge Park,Manhattan,Manhattan,2,1.77,8.858333333333334,10.24,5.796632996632997,8.274999999999999,0.9455837762636892,1.9333333333333333
Central Harlem North,Inwood,Manhattan,Manhattan,8,3.53375,13.952083333333333,20.416249999999998,5.681582867061212,14.86125,1.0815153654632548,4.133333333333334
Central Harlem North,JFK Airport,Manhattan,Queens,4,18.26075,37.233333333333334,64.92,3.569157299675428,48.2775,1.3113510880081631,2.305555555555556
Central Harlem North,Jackson Heights,Manhattan,Queens,1,12.76,33.1,35.7,2.797805642633229,37.9,1.1450151057401812,2.683333333333333
Central Harlem North,Kingsbridge Heights,Manhattan,Bronx,1,4.29,20.066666666666666,23.72,5.529137529137529,17.53,0.8735880398671098,0.8333333333333334
Central Harlem North,LaGuardia Airport,Manhattan,Queens,4,7.90025,18.0875,27.975,3.5433498832908303,21.31,1.182954607542027,2.4055555555555554
Central Harlem North,Lenox Hill East,Manhattan,Manhattan,5,4.569,20.933333333333334,20.286,4.421621551049073,18.919999999999998,0.9197193328736066,2.533333333333333
Central Harlem North,Lenox Hill West,Manhattan,Manhattan,4,5.2275,25.633333333333333,27.29,5.3118600855912534,22.79,0.911600493222061,7.674999999999999
Central Harlem North,Lincoln Square East,Manhattan,Manhattan,3,4.781,23.611111111111114,29.58,6.237146594909002,21.540000000000003,0.9412706095902387,2.788888888888889
Central Harlem North,Lincoln Square West,Manhattan,Manhattan,1,6.07,21.966666666666665,25.52,4.204283360790774,21.07,0.9591805766312596,1.4
Central Harlem North,Long Island City/Hunters Point,Manhattan,Queens,1,9.16,25.433333333333334,51.28,5.598253275109171,35.28,1.3871559633027524,10.833333333333334
Central Harlem North,Longwood,Manhattan,Bronx,2,3.8499999999999996,12.283333333333333,20.049999999999997,5.7485092608367605,16.685,1.3346273984828203,8.416666666666666
Central Harlem North,Lower East Side,Manhattan,Manhattan,3,9.453333333333333,31.194444444444443,36.093333333333334,3.818778793125236,35.86666666666667,1.1548389988541425,9.6
Central Harlem North,Manhattan Valley,Manhattan,Manhattan,6,2.3761666666666668,13.10277777777778,13.699999999999998,5.780431793501404,11.163333333333334,0.852066249716977,1.9266666666666665
Central Harlem North,Manhattanville,Manhattan,Manhattan,9,1.0997777777777777,8.253703703703703,12.885555555555555,11.94130832190356,7.664444444444445,0.9509675192602116,5.633333333333334
