pickup_zone,hour,order_count,avg_response_time_min,p50_response_time_min,p90_response_time_min,slow_response_rate
East New York/Pennsylvania Avenue,5,4,4.854166666666667,2.6083333333333334,10.255000000000003,0.25
East New York/Pennsylvania Avenue,6,4,4.633333333333334,4.141666666666667,6.533333333333334,0.0
East New York/Pennsylvania Avenue,7,3,11.172222222222222,10.166666666666666,18.846666666666668,0.6666666666666666
East New York/Pennsylvania Avenue,8,6,5.586111111111111,4.533333333333333,8.950000000000001,0.16666666666666666
East New York/Pennsylvania Avenue,9,7,3.5547619047619046,3.033333333333333,6.94,0.0
East New York/Pennsylvania Avenue,10,2,8.133333333333333,8.133333333333333,13.16,0.5
East New York/Pennsylvania Avenue,11,5,2.6866666666666665,3.0,3.92,0.0
East New York/Pennsylvania Avenue,12,4,2.7625,2.341666666666667,4.746666666666667,0.0
East New York/Pennsylvania Avenue,13,4,3.6791666666666663,3.033333333333333,5.045,0.0
East New York/Pennsylvania Avenue,14,7,4.064285714285715,3.566666666666667,6.8933333333333335,0.0
East New York/Pennsylvania Avenue,15,4,4.3500000000000005,3.8333333333333335,7.0166666666666675,0.0
East New York/Pennsylvania Avenue,16,7,2.642857142857143,2.933333333333333,4.653333333333334,0.0
East New York/Pennsylvania Avenue,17,7,2.123809523809524,2.1,3.646666666666667,0.0
East New York/Pennsylvania Avenue,18,5,2.67,2.7666666666666666,4.666666666666667,0.0
East New York/Pennsylvania Avenue,19,5,3.4633333333333334,2.75,5.74,0.0
East New York/Pennsylvania Avenue,20,10,3.6399999999999997,3.2583333333333333,4.639999999999997,0.1
East New York/Pennsylvania Avenue,21,5,3.486666666666667,3.816666666666667,3.8433333333333333,0.0
East New York/Pennsylvania Avenue,22,6,10.758333333333333,11.4,16.441666666666666,0.6666666666666666
East New York/Pennsylvania Avenue,23,6,4.661111111111111,5.008333333333333,6.041666666666667,0.0
East Tremont,0,10,3.575,2.7583333333333333,6.006666666666666,0.0
East Tremont,1,3,2.755555555555556,1.5833333333333333,4.77,0.0
East Tremont,2,1,3.25,3.25,3.25,0.0
East Tremont,3,1,5.116666666666666,5.116666666666666,5.116666666666666,0.0
East Tremont,4,1,3.316666666666667,3.316666666666667,3.316666666666667,0.0
East Tremont,5,3,3.888888888888889,4.55,4.5633333333333335,0.0
East Tremont,6,5,3.6966666666666668,3.9833333333333334,5.08,0.0
East Tremont,7,7,3.7976190476190474,3.3,5.950000000000001,0.0
East Tremont,8,18,4.181481481481481,4.1,7.248333333333334,0.0
East Tremont,9,9,4.3537037037037045,4.35,5.773333333333333,0.0
East Tremont,10,10,2.9483333333333333,2.166666666666667,5.7299999999999995,0.0
East Tremont,11,4,3.6458333333333335,3.1416666666666666,5.91,0.0
East Tremont,12,8,3.2,2.4749999999999996,5.134999999999999,0.0
East Tremont,13,3,4.8,4.616666666666666,6.256666666666667,0.0
East Tremont,14,11,5.789393939393939,4.966666666666667,8.816666666666666,0.09090909090909091
East Tremont,15,12,2.341666666666667,1.975,3.745,0.0
East Tremont,16,9,4.5851851851851855,3.8666666666666667,9.006666666666668,0.1111111111111111
East Tremont,17,9,4.083333333333333,2.55,8.5,0.1111111111111111
East Tremont,18,12,3.7305555555555556,3.6833333333333336,5.76,0.0
East Tremont,19,5,3.6566666666666663,4.75,5.38,0.0
East Tremont,20,6,6.222222222222221,4.925,10.941666666666666,0.3333333333333333
East Tremont,21,4,5.045833333333333,4.725,7.985,0.0
East Tremont,22,8,2.9104166666666664,2.975,5.026666666666666,0.0
East Tremont,23,16,6.246875,5.191666666666666,11.933333333333334,0.1875
East Village,0,38,3.984649122807017,3.0999999999999996,7.508333333333342,0.05263157894736842
East Village,1,29,4.486206896551724,2.8333333333333335,10.35,0.13793103448275862
East Village,2,16,4.122916666666667,2.9,8.141666666666666,0.0625
East Village,3,17,3.3352941176470585,2.683333333333333,5.306666666666667,0.058823529411764705
East Village,4,7,3.1166666666666667,2.9833333333333334,5.520000000000002,0.0
East Village,5,4,10.395833333333332,10.908333333333333,14.078333333333335,0.5
East Village,6,6,1.9333333333333333,2.7333333333333334,2.925,0.0
East Village,7,15,3.3555555555555556,3.4,5.426666666666667,0.0
East Village,8,7,3.776190476190476,4.6,5.126666666666667,0.0
East Village,9,13,3.5705128205128203,3.0,5.613333333333334,0.0
East Village,10,14,2.8714285714285714,2.333333333333333,3.535,0.07142857142857142
East Village,11,17,2.022549019607843,1.9833333333333334,3.4133333333333336,0.0
East Village,12,7,1.688095238095238,1.6333333333333333,2.2333333333333334,0.0
East Village,13,8,2.725,2.7916666666666665,4.721666666666667,0.0
East Village,14,13,2.141025641025641,1.7833333333333334,3.9400000000000004,0.0
East Village,15,14,3.9250000000000003,3.125,5.135000000000002,0.07142857142857142
East Village,16,18,3.187037037037037,3.3,6.026666666666667,0.0
East Village,17,21,3.6380952380952385,2.0,6.866666666666666,0.09523809523809523
East Village,18,22,3.1598484848484847,2.0583333333333336,7.801666666666673,0.0
East Village,19,33,3.5681818181818183,3.283333333333333,7.056666666666667,0.030303030303030304
East Village,20,31,2.4478494623655913,1.8166666666666667,3.9,0.0
East Village,21,26,2.028205128205128,1.3583333333333334,3.708333333333333,0.0
East Village,22,54,3.832716049382716,2.783333333333333,7.091666666666667,0.05555555555555555
East Village,23,48,3.4444444444444446,2.575,6.926666666666667,0.041666666666666664
East Williamsburg,0,9,4.061111111111111,2.0,7.626666666666668,0.1111111111111111
East Williamsburg,1,9,3.9037037037037035,4.15,5.283333333333334,0.0
East Williamsburg,2,24,5.148611111111111,4.1,10.054999999999998,0.125
East Williamsburg,3,11,4.892424242424242,4.483333333333333,8.083333333333334,0.09090909090909091
East Williamsburg,4,5,6.88,4.566666666666666,12.643333333333334,0.2
East Williamsburg,5,7,5.519047619047619,3.6333333333333333,9.886666666666667,0.14285714285714285
East Williamsburg,6,5,6.630000000000001,6.633333333333334,9.32,0.0
East Williamsburg,7,10,4.346666666666667,4.608333333333333,6.648333333333332,0.0
East Williamsburg,8,8,4.86875,4.05,8.851666666666667,0.125
East Williamsburg,9,5,3.5200000000000005,2.0,7.566666666666668,0.2
