date,hour,weekday,is_weekend,order_count,avg_trip_miles,avg_base_passenger_fare,avg_driver_pay
2024-11-04,6,0,False,18,4.515444444444444,21.938333333333333,17.06277777777778
2024-11-04,7,0,False,27,3.3816296296296295,19.19185185185185,15.65111111111111
2024-11-04,8,0,False,35,3.892428571428571,22.27,19.103142857142856
2024-11-04,9,0,False,29,5.652517241379311,27.650689655172414,21.774827586206897
2024-11-04,10,0,False,22,3.7319090909090913,22.314545454545456,17.015
2024-11-04,11,0,False,18,6.541888888888889,25.628888888888888,22.985
2024-11-04,12,0,False,16,6.0108749999999995,30.7075,22.719375
2024-11-04,13,0,False,21,5.602142857142857,27.642380952380954,23.548095238095236
2024-11-04,14,0,False,24,5.106541666666667,30.358333333333334,22.762083333333333
2024-11-04,15,0,False,15,4.843333333333334,27.079333333333334,21.52
2024-11-04,16,0,False,23,2.913173913043478,21.27173913043478,15.693478260869565
2024-11-04,17,0,False,25,4.630199999999999,26.0956,20.87
2024-11-04,18,0,False,23,4.017173913043478,25.683913043478263,17.58478260869565
2024-11-04,19,0,False,18,5.292888888888889,24.025,19.78611111111111
2024-11-04,20,0,False,19,8.376,43.23105263157895,28.046315789473685
2024-11-04,21,0,False,22,8.3045,35.55409090909091,25.968181818181815
2024-11-04,22,0,False,14,4.439357142857143,20.443571428571428,16.020714285714284
2024-11-04,23,0,False,16,8.1098125,30.3175,26.3
2024-11-05,0,1,False,8,4.52,17.85125,14.795
2024-11-05,1,1,False,8,5.0965,22.6975,18.085
2024-11-05,2,1,False,3,7.93,31.336666666666662,21.823333333333334
2024-11-05,3,1,False,2,1.98,12.06,10.79
2024-11-05,4,1,False,5,7.68,29.118000000000002,28.516
2024-11-05,5,1,False,6,6.501666666666666,27.49,20.279999999999998
2024-11-05,6,1,False,19,5.779947368421053,28.2,19.991578947368424
2024-11-05,7,1,False,23,2.8336956521739127,18.14782608695652,12.090434782608694
2024-11-05,8,1,False,19,4.161789473684211,21.630526315789474,15.36421052631579
2024-11-05,9,1,False,23,6.236913043478261,25.37913043478261,22.011739130434783
2024-11-05,10,1,False,22,4.812909090909091,24.333636363636366,19.108636363636364
2024-11-05,11,1,False,21,6.953238095238095,34.55952380952381,26.94047619047619
2024-11-05,12,1,False,22,5.652863636363636,26.118636363636366,19.066363636363636
2024-11-05,13,1,False,15,3.6129333333333333,22.89,15.598
2024-11-05,14,1,False,23,3.2661304347826086,21.85782608695652,15.55695652173913
2024-11-05,15,1,False,24,2.7870000000000004,16.3125,12.856250000000001
2024-11-05,16,1,False,17,5.594941176470589,24.62764705882353,22.945882352941176
2024-11-05,17,1,False,25,3.85436,22.5284,18.2
2024-11-05,18,1,False,26,2.7952692307692306,19.38,14.371923076923078
2024-11-05,19,1,False,22,2.9521363636363636,16.451363636363638,12.851818181818182
2024-11-05,20,1,False,21,6.028761904761905,23.424285714285713,19.022380952380953
