pickup_zone,pickup_borough,pickup_order_count,avg_fare_per_mile,avg_driver_pay_per_minute,avg_response_time_min,dropoff_zone,dropoff_borough,dropoff_order_count
Kew Gardens Hills,Queens,107.0,6.028276776122134,0.9840017463596276,3.443295019157088,Kew Gardens Hills,Queens,87
Kingsbridge Heights,Bronx,144.0,6.981834943002493,1.006028665776215,4.004742547425474,Kingsbridge Heights,Bronx,130
Kips Bay,Manhattan,284.0,8.592405877177802,1.0511149450397326,3.744212962962963,Kips Bay,Manhattan,248
LaGuardia Airport,Queens,934.0,5.831617262594339,1.2220027251536922,5.97020273455917,LaGuardia Airport,Queens,978
Laurelton,Queens,85.0,6.621794897977516,1.0949509448641614,3.942857142857143,Laurelton,Queens,85
Lenox Hill East,Manhattan,290.0,7.458647257823736,1.0328574638539183,3.707054263565891,Lenox Hill East,Manhattan,309
Lenox Hill West,Manhattan,295.0,8.469038795049347,1.04463596455119,3.310185185185185,Lenox Hill West,Manhattan,298
Lincoln Square East,Manhattan,321.0,9.547455689782153,1.107466909649332,3.659228650137741,Lincoln Square East,Manhattan,317
Lincoln Square West,Manhattan,249.0,9.364993613607643,1.0322221659284696,3.5467353951890037,Lincoln Square West,Manhattan,191
Little Italy/NoLiTa,Manhattan,335.0,10.543907580196011,1.0811171314490522,3.476830808080808,Little Italy/NoLiTa,Manhattan,290
Long Island City/Hunters Point,Queens,451.0,6.409425286837336,0.9975088578957401,3.239798850574713,Long Island City/Hunters Point,Queens,407
Long Island City/Queens Plaza,Queens,115.0,6.25812687949436,0.9914575001812663,3.848913043478261,Long Island City/Queens Plaza,Queens,121
Longwood,Bronx,112.0,7.0800220982885715,0.9861085633902947,4.322916666666667,Longwood,Bronx,108
Lower East Side,Manhattan,508.0,8.79929775838858,1.0707932783240788,3.7789428815004262,Lower East Side,Manhattan,399
Madison,Brooklyn,118.0,7.337022726074845,0.9549594926333888,3.8664794007490637,Madison,Brooklyn,124
Manhattan Beach,Brooklyn,36.0,6.026392254053257,1.1125336121119807,3.9545977011494253,Manhattan Beach,Brooklyn,57
Manhattan Valley,Manhattan,164.0,7.49196609335204,1.0298457699741985,3.2162280701754384,Manhattan Valley,Manhattan,125
Manhattanville,Manhattan,110.0,7.2254541311506975,1.0715290387770269,4.0755952380952385,Manhattanville,Manhattan,118
Marble Hill,Manhattan,39.0,7.014155344438281,1.0502184158004817,4.418888888888889,Marble Hill,Manhattan,35
Marine Park/Floyd Bennett Field,Brooklyn,6.0,3.849021356782377,1.085561406550729,6.258333333333333,Marine Park/Floyd Bennett Field,Brooklyn,4
Marine Park/Mill Basin,Brooklyn,139.0,7.45680398676964,1.0308228317649588,4.505028735632184,Marine Park/Mill Basin,Brooklyn,140
Mariners Harbor,Staten Island,70.0,5.670211512770095,1.087849598856238,3.985493827160494,Mariners Harbor,Staten Island,45
Maspeth,Queens,144.0,6.403957961996528,1.0099380800588222,4.199404761904762,Maspeth,Queens,156
Meatpacking/West Village West,Manhattan,296.0,10.330565839973676,1.0346626388003004,3.0186915887850465,Meatpacking/West Village West,Manhattan,248
Melrose South,Bronx,212.0,7.458934915056299,0.9435871281458867,4.101637764932563,Melrose South,Bronx,245
Middle Village,Queens,104.0,5.8820268367175625,0.956256866652505,3.8234126984126986,Middle Village,Queens,112
Midtown Center,Manhattan,577.0,12.01359980655411,1.1255188687077968,4.33707627118644,Midtown Center,Manhattan,514
Midtown East,Manhattan,360.0,9.872557029447924,1.0920842241779665,3.3552568697729988,Midtown East,Manhattan,375
Midtown North,Manhattan,389.0,11.652425600835905,1.063480160930391,3.034282700421941,Midtown North,Manhattan,322
Midtown South,Manhattan,492.0,11.331795585933051,1.1086827727119466,3.7039134438305705,Midtown South,Manhattan,387
Midwood,Brooklyn,163.0,7.320356634571289,0.948168996052647,3.9774436090225564,Midwood,Brooklyn,153
Morningside Heights,Manhattan,194.0,6.89303227204052,1.0110281004425916,3.547945205479452,Morningside Heights,Manhattan,236
